process_count,arrival_rate,burst_mean,burst_variance,short_job_ratio,priority_mean,priority_variance,io_frequency,io_cpu_ratio,profile,seed,label,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr
12.0,1.0909090909090908,7.166666666666667,9.472222222222221,1.0,2.4166666666666665,2.2430555555555554,2.0833333333333335,1.6046511627906976,interactive,420000049,SJF,0.10836857651912978,0.051162790697674404,0.08580160216396174,0.31863904289874556,0.7906976744186047
12.0,1.0,7.166666666666667,9.972222222222221,1.0,2.3333333333333335,1.8888888888888888,2.0833333333333335,1.4767441860465116,interactive,420000050,SJF,0.16384837795231058,0.1068087965893012,0.10790611675544866,0.3167542393121566,0.7786624203821656
12.0,0.7058823529411765,8.25,13.854166666666666,1.0,3.4166666666666665,2.4097222222222223,2.3333333333333335,1.4242424242424243,interactive,420000051,Round Robin,0.05781574072209584,0.08105321572521762,0.051301499086406445,0.34006032897249044,0.7995283018867925
12.0,0.9230769230769231,9.666666666666666,5.388888888888889,1.0,3.5833333333333335,2.076388888888889,2.9166666666666665,1.5344827586206897,interactive,420000052,SJF,0.13748277320010197,0.10069084712284201,0.1281849301746606,0.26674641148325356,0.7958515283842795
12.0,0.9230769230769231,7.583333333333333,11.57638888888889,1.0,2.8333333333333335,1.6388888888888888,2.25,1.5274725274725274,interactive,420000053,SJF,0.09202479926509308,0.027366152366152356,0.09745136620792444,0.32920114775862985,0.8012820512820513
12.0,0.7058823529411765,6.75,8.020833333333334,1.0,3.8333333333333335,1.3055555555555556,2,1.4444444444444444,interactive,420000054,SJF,0.13480458523689748,0.058916580578512415,0.07717647964683538,0.30900621118012417,0.87890625
12.0,0.75,8.666666666666666,10.722222222222221,1.0,2.4166666666666665,2.2430555555555554,2.5833333333333335,1.5096153846153846,interactive,420000055,Round Robin,0.10793506493506493,0.10995339379771045,0.0876758200756269,0.259753742153549,0.788
12.0,1.2,7.083333333333333,20.90972222222222,1.0,2.5833333333333335,1.2430555555555556,1.8333333333333333,1.3411764705882352,interactive,420000056,Round Robin,0.19203250167625366,0.10730714238626542,0.10153947981148286,0.2779431216931217,0.8895348837209303
12.0,0.8571428571428571,6.916666666666667,14.07638888888889,1.0,2.5,2.25,2.25,1.6867469879518073,interactive,420000057,Round Robin,0.16891256375936042,0.13890970140970144,0.11956885598397102,0.34101685714191643,0.814935064935065
12.0,1.0,9.333333333333334,12.38888888888889,1.0,2.4166666666666665,2.2430555555555554,2.75,1.2410714285714286,interactive,420000058,Round Robin,0.11713883109792986,0.10855983166892591,0.0744322960470984,0.2677293428757319,0.774561403508772
12.0,0.9230769230769231,7.833333333333333,8.13888888888889,1.0,3.4166666666666665,1.7430555555555556,2.4166666666666665,1.6702127659574468,interactive,420000059,SJF,0.06333626361916941,0.018895348837209298,0.05351283150372095,0.29094132039785536,0.8677325581395349
12.0,1.0,8.916666666666666,14.243055555555555,1.0,2.4166666666666665,1.2430555555555556,2.6666666666666665,1.308411214953271,interactive,420000060,Round Robin,0.13486885245901642,0.12042576204523106,0.08287795992714024,0.27642576204523106,0.7909999999999999
12.0,1.0,9.333333333333334,11.222222222222221,1.0,2.9166666666666665,1.0763888888888888,2.6666666666666665,1.4375,interactive,420000061,SJF,0.08332667862095,0.06920658889122812,0.09282598453538356,0.32758620689655177,0.7920353982300885
12.0,0.8,7.75,8.1875,1.0,3.0833333333333335,1.0763888888888888,2.1666666666666665,1.3655913978494623,interactive,420000062,Round Robin,0.10733464754265516,0.08697128309657719,0.0728738030888483,0.34812986946135277,0.8510638297872339
12.0,0.8571428571428571,9.833333333333334,4.972222222222222,1.0,2.3333333333333335,2.2222222222222223,2.9166666666666665,1.4067796610169492,interactive,420000063,Round Robin,0.09261068078050107,0.12737137684135674,0.08270676691729323,0.28244837758112096,0.7817220543806647
