profile,seed,oracle,selected,correct,regret,inference_ms,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr,max_wait_fcfs,max_wait_sjf,max_wait_round_robin,max_wait_priority,max_wait_priority_rr,switch_time_fcfs,switch_time_sjf,switch_time_round_robin,switch_time_priority,switch_time_priority_rr
mixed,20264000032,Round Robin,Round Robin,1,0.0,0.0803339999038144,0.2522315058609419,0.1283602150537634,0.1266900350525789,0.3923559227924146,0.7624327956989247,159,150,149,167,316,0,0,0,0,169
mixed,20264000033,SJF,SJF,1,0.0,0.06574999997610576,0.4170050015844661,0.09934769775678867,0.15368171021377675,0.47298250497073646,0.7576446280991735,192,183,180,197,397,0,0,0,0,210
mixed,20264000034,Round Robin,Round Robin,1,0.0,0.0691659997755778,0.346400902226145,0.15210355987055016,0.14982347749338043,0.38157352781777926,0.7572815533980582,183,197,172,199,362,0,0,0,0,188
mixed,20264000035,SJF,Round Robin,0,0.0008722104404829123,0.06020800037731533,0.3949840083737717,0.1415696500246334,0.1424418604651163,0.43533534444296174,0.775,157,138,137,161,312,0,0,0,0,162
mixed,20264000036,Round Robin,Round Robin,1,0.0,0.060416999986045994,0.3173640875798128,0.1637435020668452,0.13426514188903005,0.39866581956797964,0.7558569667077681,183,166,165,202,388,0,0,0,0,200
mixed,20264000037,Round Robin,Round Robin,1,0.0,0.05979099978503655,0.2720979339182422,0.15003958828186856,0.13988764044943822,0.37805737120244737,0.7557403008709422,197,177,177,207,378,0,0,0,0,203
mixed,20264000038,Round Robin,Round Robin,1,0.0,0.060541000038938364,0.26381719649927665,0.1960887059723631,0.12278015921616656,0.3569247283216771,0.7811085972850679,105,106,105,132,237,0,0,0,0,127
mixed,20264000039,Round Robin,Round Robin,1,0.0,0.05970800020804745,0.3342302314710103,0.17103391485517278,0.1440082644628099,0.39562486114074663,0.7573449401523396,214,191,189,217,415,0,0,0,0,221
mixed,20264000040,Round Robin,Round Robin,1,0.0,0.13854099961463362,0.3117715689865513,0.19673913043478264,0.14149377593360996,0.4332274355182706,0.7605072463768117,191,176,176,204,392,0,0,0,0,198
mixed,20264000041,SJF,Round Robin,0,0.007870877752664207,0.06670799984931364,0.30243458967399833,0.11785009861932938,0.1257209763719936,0.4068638346489406,0.777120315581854,95,116,108,128,255,0,0,0,0,145
mixed,20264000042,SJF,SJF,1,0.0,0.06154099992272677,0.32534457972746733,0.11748114431114921,0.1302801244997777,0.42241545936199953,0.7536173633440515,248,208,204,253,442,0,0,0,0,238
mixed,20264000043,Round Robin,Round Robin,1,0.0,0.06045800000720192,0.2890008486779478,0.14664752906526438,0.12330623306233063,0.4029573170731708,0.7506915629322268,167,141,139,166,303,0,0,0,0,162
mixed,20264000044,SJF,SJF,1,0.0,0.05941700010225759,0.35858074022012504,0.12926997245179062,0.14296784192173573,0.4136819716095621,0.7563596491228071,201,187,185,206,433,0,0,0,0,225
mixed,20264000045,SJF,Round Robin,0,0.024529319974916503,0.05820800015499117,0.3898578393403691,0.12353801169590642,0.14806733167082292,0.3807275461177071,0.7697368421052632,137,141,126,147,265,0,0,0,0,141
mixed,20264000046,Round Robin,Round Robin,1,0.0,0.05849999979545828,0.35801665239330716,0.17307692307692307,0.1290516206482593,0.335234093637455,0.7729132569558101,121,129,124,142,276,0,0,0,0,146
mixed,20264000047,Round Robin,Round Robin,1,0.0,0.05995799983793404,0.31869371985830036,0.14896334604932399,0.1399122807017544,0.38556953413412737,0.7600411946446962,179,179,176,186,382,0,0,0,0,195
mixed,20264000048,Round Robin,Round Robin,1,0.0,0.13354199973036884,0.4077299125255154,0.16011904761904763,0.1498572787821123,0.32350142721217884,0.7619047619047619,185,185,171,174,367,0,0,0,0,196
mixed,20264000049,Round Robin,SJF,0,0.11106580821937775,0.07154100012485287,0.3684089240809213,0.19863945578231293,0.08757364756293518,0.3247188002142474,0.767687074829932,183,173,176,202,404,0,0,0,0,224
mixed,20264000050,Round Robin,Round Robin,1,0.0,0.06524999980683788,0.37386141674138457,0.1398975791433892,0.11656314699792962,0.3181159420289855,0.7527932960893855,251,230,230,257,486,0,0,0,0,257
mixed,20264000051,Round Robin,Round Robin,1,0.0,0.06195799960551085,0.41912752242226636,0.11726618705035972,0.05177824267782427,0.43275279796022253,0.7687050359712231,112,110,92,122,196,0,0,0,0,101
mixed,20264000052,SJF,SJF,1,0.0,0.061749999986204784,0.34137467601210136,0.1320173670335257,0.13327487943884261,0.4385642166403045,0.7604456824512535,210,185,183,211,422,0,0,0,0,239
mixed,20264000053,Round Robin,Round Robin,1,0.0,0.06262499982767622,0.34094371772681364,0.16932456673459192,0.1359759949463045,0.3605559467700576,0.7526902382782474,258,235,234,260,511,0,0,0,0,271
mixed,20264000054,SJF,Round Robin,0,0.03447424366128064,0.06020899991199258,0.23063689487127043,0.07138979370249728,0.10586403736377792,0.38864402210696364,0.755971769815418,142,153,152,179,322,0,0,0,0,170
mixed,20264000055,Round Robin,Round Robin,1,0.0,0.060290999954304425,0.3101424288458602,0.20427728613569324,0.1457765667574932,0.4036291619666384,0.7809734513274336,116,97,98,112,232,0,0,0,0,124
mixed,20264000056,SJF,SJF,1,0.0,0.1005829999485286,0.34372132489894885,0.1085665818490246,0.12696577243293247,0.43229134398860497,0.7578456318914334,202,181,181,203,419,0,0,0,0,218
mixed,20264000057,Round Robin,Round Robin,1,0.0,0.08675000026414637,0.3906829614784953,0.17469702882291088,0.12507138777841234,0.41912058379612965,0.7635253054101221,136,135,133,143,298,0,0,0,0,161
mixed,20264000058,Round Robin,Round Robin,1,0.0,0.06450000000768341,0.17476608128839735,0.2066420664206642,0.12282608695652172,0.3459836912728164,0.7633763837638377,120,123,123,138,278,0,0,0,0,146
mixed,20264000059,Round Robin,Round Robin,1,0.0,0.06408399985957658,0.46855727919677204,0.1626760563380282,0.14973861090365942,0.36175566333015235,0.782394366197183,111,104,104,116,225,0,0,0,0,118
mixed,20264000060,Round Robin,Round Robin,1,0.0,0.06066700007067993,0.28146760684714184,0.17337461300309598,0.13063063063063063,0.35412191750454847,0.771671826625387,152,133,133,155,310,0,0,0,0,161
mixed,20264000061,Round Robin,Round Robin,1,0.0,0.05966700018689153,0.38980114618305056,0.12877997914494263,0.11726384364820847,0.4059808397018291,0.7612095933263816,159,145,145,170,333,0,0,0,0,180
mixed,20264000062,Round Robin,Round Robin,1,0.0,0.06504200018753181,0.23663608617084084,0.1623434704830054,0.1254605747973471,0.3362196020633751,0.7567084078711985,191,193,182,213,403,0,0,0,0,213
mixed,20264000063,SJF,Round Robin,0,0.006575126440861195,0.061374999859253876,0.25057059903818324,0.12086092715231786,0.12743605359317906,0.3970990254190655,0.7536423841059603,269,254,253,269,555,0,0,0,0,290
mixed,20264000064,Round Robin,Round Robin,1,0.0,0.08212500006266055,0.28946530702709644,0.1807639836289222,0.13654353562005278,0.3771928581925486,0.7537517053206002,158,165,157,177,349,0,0,0,0,179
